10,20,23,17,19,20,18,21,28,17,8.1,25,26,31,9.7,21,2.1,21,18,29,22,20,19,7.7,8.3,10,27,11,7.7,11,15,24,17,13,7.5,27,26,24,14,21,18,22,23,28,19,14,18
29,29,32,25,28,29,27,29,37,37,8.7,26,26,40,14,20,17,4.1,27,29,31,38,28,22,24,28,16,24,17,18,21,13,36,11,21,35,35,33,8.9,30,27,31,32,37,26,20,19
13,9.3,8.7,4.3,8.2,4.6,6.6,4,17,13,21,16,19,20,15,19,17,26,3.8,19,8.9,14,4.8,17,12,12,18,8.5,27,14,9.4,22,18,17,11,19,10,13,22,12,5.5,11,8.6,13,13,13,14
26,11,16,20,12,24,13,24,10,31,27,4.2,3.6,8.2,25,8.8,31,30,21,1.4,28,33,23,30,24,25,12,21,35,13,11,13,32,16,23,5.4,29,14,23,8.7,23,11,17,32,6.1,10,9.2
10,18,16,13,17,7.2,15,10,25,5.1,28,24,27,28,21,28,23,32,13,28,2.5,7.7,11,17,13,10,26,11,20,20,18,30,11,23,17,28,11,22,27,20,4.9,19,15,9.3,22,22,22
11,21,20,16,20,11,19,13,29,3.4,29,28,31,32,27,31,20,38,16,31,7.2,1.5,15,17,14,11,30,16,21,26,21,33,5.6,29,17,31,12,25,34,24,9.3,23,19,7.6,25,25,26
15,5.6,3.8,4.3,5.8,5.9,4.9,3.1,13,14,23,18,21,16,17,21,19,29,2.2,21,10,15,0.3,19,14,14,19,11,29,16,11,24,19,19,13,14,9,8.5,24,14,9.1,7.2,3.6,14,12,15,16
7.3,24,28,20,17,19,22,22,32,12,17,29,32,31,16,33,9.5,29,22,33,19,16,23,3.5,6.8,11,20,14,8.8,15,23,35,10,20,9.6,30,25,28,21,26,16,26,27,26,27,27,27
5.3,14,16,9.9,13,13,11,14,21,11,16,19,22,24,12,22,8.9,24,11,21,9.8,15,12,8,1.7,4.3,14,2.7,12,9,12,25,14,14,3.7,20,19,18,19,15,6.1,16,16,22,16,16,17
4,12,15,7,11,11,9.3,11,20,7.4,21,17,20,23,15,21,12,27,9.3,21,7.5,11,9.9,9.6,4.2,1.4,19,3.5,18,15,11,23,10,17,7.9,21,17,16,22,13,3.7,14,14,19,15,15,15
